"original_order","fishery_id","host_country","target_species","lon","lat","material_style_of_life","economic_dependence","food_dependence","habitat_susceptibility","overfishing","species_suceptibility","social_adaptive_capacity","social_sensitivity","ecological_exposure","ecological_sensitivity","ecological_recovery_potential","ecological_vulnerability","score"
1,1,"Philippines","Jacks",123.2714278,9.079722222,-0.162227602905569,0.0352959812217718,0,0.848484848484849,NA,NA,NA,0.0176479906108859,0.548265043680115,NA,0.622093023255814,NA,NA
2,1,"Philippines","Bignose unicornfish",123.2714278,9.079722222,-0.162227602905569,0.0352959812217718,0,0.848484848484849,NA,1,NA,0.0176479906108859,0.548265043680115,NA,0.622093023255814,NA,NA
3,2,"New Zealand","New Zealand southern scallop",173.2019167,-40.90832222,0,0.0232504971222699,0,0.151515151515152,1,0.589285714285714,0.365116973179473,0.011625248561135,0.501963758842666,0.580266955266955,0.75,0.332230714109621,-0.0212610105087171
4,3,"New Zealand","Red crab",171.2500778,-45.44088333,0,0.0232504971222699,0,0.696969696969697,0,0.125,0.212450306512806,0.011625248561135,0.371661942910552,0.273989898989899,0.790697674418605,-0.145045832518154,-0.345870890469825
5,3,"New Zealand","Spider crab",171.2500778,-45.44088333,0,0.0232504971222699,0,0.757575757575758,0,NA,0.212450306512806,0.011625248561135,0.371661942910552,NA,0.581395348837209,NA,NA
6,3,"New Zealand","King crab",171.2500778,-45.44088333,0,0.0232504971222699,0,0.757575757575758,0,0.375,0.212450306512806,0.011625248561135,0.371661942910552,0.377525252525253,0.581395348837209,0.167791846598595,-0.0330332113530758
7,3,"New Zealand","King crab",171.2500778,-45.44088333,0,0.0232504971222699,0,0.696969696969697,0,NA,0.212450306512806,0.011625248561135,0.371661942910552,NA,0.790697674418605,NA,NA
9,5,"Turkey","Surmullet",26.75037778,38.66945,-0.0944309927360775,0.00355583589148578,0,0.757575757575758,NA,0.0892857142857143,NA,0.00177791794574289,0.325404798254652,NA,0.290697674418605,NA,NA
10,5,"Turkey","Porgy",26.75037778,38.66945,-0.0944309927360775,0.00355583589148578,0,0.878787878787879,NA,0.482142857142857,NA,0.00177791794574289,0.325404798254652,NA,0.122093023255814,NA,NA
11,6,"United States","Cod - Georges Bank",-67.51804444,41.19568056,0,0.000337801851828374,0,0.878787878787879,1,0.267857142857143,NA,0.000168900925914187,0.595020010311723,0.715548340548341,0.622093023255814,0.68847532760425,NA
12,7,"Philippines","Brown mussel",123.0034194,11.49168611,-0.162227602905569,0.0352959812217718,0,0.727272727272727,NA,NA,0.104140563212062,0.0176479906108859,0.54693912307231,NA,0.122093023255814,NA,NA
13,7,"Philippines","Rabbitfish",123.0034194,11.49168611,-0.162227602905569,0.0352959812217718,0,0.848484848484849,NA,NA,0.104140563212062,0.0176479906108859,0.54693912307231,NA,0.122093023255814,NA,NA
14,8,"Sweden","Northern shrimp",11.53907222,58.31634167,0,0.000505407449798942,0,0.757575757575758,0,0.0535714285714286,NA,0.000252703724899471,0,0.270382395382395,0.581395348837209,-0.311012953454814,NA
15,9,"Sri Lanka","Penaeid shrimp",79.83406111,7.209336111,-0.0508474576271186,0.0279282378612474,0,0.757575757575758,0,NA,NA,0.0139641189306237,0.511633636694928,NA,0.75,NA,NA
16,10,"Japan","Walleye pollock",139.9742194,41.97315556,0,0.00925067141110422,0,0.696969696969697,1,0.446428571428571,0.341652973097339,0.00462533570555211,0.699201663020435,0.714466089466089,0.790697674418605,0.62297007806792,0.285942440676133
17,11,"Philippines","Anchovies",122.8381972,11.63328889,-0.162227602905569,0.0352959812217718,0,0.848484848484849,NA,NA,0.174585007656506,0.0176479906108859,0.552336663744262,NA,0.122093023255814,NA,NA
18,11,"Philippines","Big eye tuna",122.8381972,11.63328889,-0.162227602905569,0.0352959812217718,0,0.696969696969697,0,0.375,0.269029452100951,0.0176479906108859,0.552336663744262,0.357323232323232,0.412790697674419,0.496869198393076,0.245487736903011
19,12,"New Zealand","Paua",NA,NA,0,0.0232504971222699,0,0.575757575757576,0,0.665178571428571,0.322783639846139,0.011625248561135,NA,0.413645382395382,0.540697674418605,NA,NA
20,13,"Japan","Sakuraebi",138.55,34.85,0,0.00925067141110422,0,0.696969696969697,0,NA,0.178319639764006,0.00462533570555211,0.867447640159958,NA,0.912790697674419,NA,NA
21,14,"Scotland","North Sea herring",-2.098066667,59.89395556,0,0.00965021285583011,0,0.696969696969697,1,0.0892857142857143,0.382278389504027,0.00482510642791506,0.411343007650427,0.59541847041847,0.912790697674419,0.0939707803944785,-0.283482502681634
22,15,"Japan","Walleye pollock",145.3201389,44.31121944,0,0.00925067141110422,0,0.696969696969697,1,0.446428571428571,0.318319639764005,0.00462533570555211,0.731373324562883,0.714466089466089,0.790697674418605,0.655141739610368,0.341447435551914
23,16,"South Africa","Brown mussel",32.3929,-28.55029167,-0.0338983050847458,0.00130689079508547,0,0.848484848484849,NA,0.321428571428571,0.320041075830008,0.000653445397542737,0.490299768115952,NA,0.622093023255814,NA,NA
24,17,"Canada","Geoduck",-128.7623083,51.32040556,0,0.00680553823988124,0,0.757575757575758,0,0.375,0.342998800210978,0.00340276911994062,0.526994987390537,0.377525252525253,0.581395348837209,0.323124891078581,-0.016471140012457
25,18,"Australia","Black-lip abalone",144.4838167,-38.81491111,0,0.00473944753876246,0,0.575757575757576,0,0.875,0.327605011775957,0.00236972376938123,0.405863113734009,0.483585858585859,0.540697674418605,0.348751297901263,0.0235160098946879
26,19,"Australia","Black-lip abalone",142.1885306,-38.79291111,0,0.00473944753876246,0,0.575757575757576,0,0.875,0.338716122887068,0.00236972376938123,0.376872897976647,0.483585858585859,0.540697674418605,0.319761082143901,-0.0165853169737857
27,20,"Denmark","Cod",10.06555278,55.64481111,0,0.00965487275711589,0,0.696969696969697,1,0.267857142857143,NA,0.00482743637855795,0.455651265838598,0.65494227994228,0.912790697674419,0.197802848106459,NA
28,21,"Denmark","Cod",13.98206667,54.88215,0,0.00965487275711589,0,0.696969696969697,1,0.267857142857143,NA,0.00482743637855795,0.404741565305379,0.65494227994228,0.912790697674419,0.14689314757324,NA
29,22,"Solomon Islands","Invertebrates",158.0160694,-8.485511111,0,1,1,0.848484848484849,NA,NA,NA,1,0.551010361188764,NA,0.622093023255814,NA,NA
30,22,"Solomon Islands","Finfish",158.0160694,-8.485511111,0,1,1,NA,NA,NA,NA,1,0.551010361188764,NA,NA,NA,NA
31,23,"Denmark","Cod",7.079927778,55.991075,0,0.00965487275711589,0,0.696969696969697,1,0.267857142857143,0.303142785869501,0.00482743637855795,0.320069305687184,0.65494227994228,0.912790697674419,0.0622208879550452,-0.236094461535898
32,24,"Denmark","Cod",8.139947222,57.38955833,0,0.00965487275711589,0,0.696969696969697,1,0.267857142857143,0.303142785869501,0.00482743637855795,0.26228885800095,0.65494227994228,0.912790697674419,0.00444044026881119,-0.293874909222132
33,25,"United States","Summer flounder",-71.38395833,41.17950278,0,0.000337801851828374,0,0.878787878787879,NA,0.553571428571429,0.271806563838586,0.000168900925914187,0.464615414417283,NA,0.622093023255814,NA,NA
34,26,"Denmark","Cod",9.912652778,57.99905556,0,0.00965487275711589,0,0.696969696969697,1,0.267857142857143,0.297587230313946,0.00482743637855795,0.131067585024583,0.65494227994228,0.912790697674419,-0.126780832707555,-0.419540626642943
35,27,"Denmark","Cod",9.012416667,57.49329444,0,0.00965487275711589,0,0.696969696969697,1,0.267857142857143,0.308698341425057,0.00482743637855795,0.242305329247237,0.65494227994228,0.912790697674419,-0.0155430884849013,-0.3194139935314
36,28,"United States","Pacific whiting",-125.8148361,45.92118611,0,0.000337801851828374,0,0.696969696969697,1,0.482142857142857,0.388473230505253,0.000168900925914187,0.586458227577062,0.726370851370851,0.912790697674419,0.400038381273494,0.0117340516941556
37,29,"United States","Pacific herring",-124.0207278,44.61726389,0,0.000337801851828374,0,0.696969696969697,1,0.267857142857143,0.177362119394142,0.000168900925914187,0.614372002755558,0.65494227994228,0.912790697674419,0.356523585023419,0.179330366555192
38,30,"United States","Cod - Pacific",-171.2447083,59.08938333,0,0.000337801851828374,0,0,0,0.410714285714286,0.493473230505253,0.000168900925914187,1,0.136904761904762,0.75,0.386904761904762,-0.106399567674577
39,30,"United States","Yellowfin sole",-171.2447083,59.08938333,0,0.000337801851828374,0,0.151515151515152,0,0.446428571428571,0.393473230505253,0.000168900925914187,1,0.199314574314574,0.75,0.449314574314574,0.0560102447352357
40,30,"United States","Atka mackerel",-171.2447083,59.08938333,0,0.000337801851828374,0,0.272727272727273,0,0.330357142857143,0.393473230505253,0.000168900925914187,1,0.201028138528139,0.75,0.451028138528139,0.0577238089487999
41,31,"Italy","Manila clam",12.42036389,44.85625278,0,0,0,0.757575757575758,0,0.526785714285714,NA,0,0.315480975632198,0.428120490620491,0.75,-0.00639853374731103,NA
42,32,"Madagascar","Octopus",43.14696667,-22.057425,-1,0.06993489340707,0,0.848484848484849,NA,0,NA,0.034967446703535,0.543202694538644,NA,0.122093023255814,NA,NA
43,33,"Vietnam","Ben Tre hard clams",106.8401194,10.10033333,-0.181598062953995,0.0580775925836304,0,0.757575757575758,0,0.75,NA,0.0290387962918152,0.611019568578406,0.502525252525252,0.5,0.613544821103658,NA
44,34,"United States","Northern rockfish",-145.1814139,58.27814722,0,0.000337801851828374,0,0.878787878787879,0,0.35,0.381806563838586,0.000168900925914187,0.842445218755713,0.40959595959596,0.622093023255814,0.629948155095859,0.248310492183187
45,34,"United States","Pacific Ocean perch",-145.1814139,58.27814722,0,0.000337801851828374,0,0.696969696969697,0,0.35,0.381806563838586,0.000168900925914187,0.842445218755713,0.348989898989899,0.581395348837209,0.610039768908403,0.228402105995731
46,35,"Guam","Wahoo",144.8825389,13.37913611,0,NA,0,1,NA,0.803571428571429,NA,NA,0.522562442970885,NA,NA,NA,NA
47,35,"Guam","Mahi Mahi",144.8825389,13.37913611,0,NA,0,1,NA,0.678571428571429,NA,NA,0.522562442970885,NA,NA,NA,NA
48,35,"Guam","Skipjack tuna (bonita)",144.8825389,13.37913611,0,NA,0,1,0,0.285714285714286,NA,NA,0.522562442970885,0.428571428571429,NA,NA,NA
49,36,"United States","Alaska pollock",-171.2447083,59.08938333,0,0.000337801851828374,0,0.696969696969697,0,0.446428571428571,0.366251008283031,0.000168900925914187,1,0.381132756132756,0.790697674418605,0.590435081714151,0.224352974357035
50,37,"Mexico","Geoduck (Almeja)",-114.5269444,31.46569722,-0.036319612590799,0.00442802774593767,0,0.757575757575758,NA,0.375,0.144172476475606,0.00221401387296883,0.85010219190701,NA,0.5,NA,NA
51,38,"United States","Alaska pollock",-171.2447083,59.08938333,0,0.000337801851828374,0,0.696969696969697,0,0.446428571428571,0.377362119394142,0.000168900925914187,1,0.381132756132756,0.790697674418605,0.590435081714151,0.213241863245924
52,39,"United States","Northern rockfish",-145.1814139,58.27814722,0,0.000337801851828374,0,0.878787878787879,0,0.35,0.381806563838586,0.000168900925914187,0.842445218755713,0.40959595959596,0.622093023255814,0.629948155095859,0.248310492183187
53,39,"United States","Pacific Ocean perch",-145.1814139,58.27814722,0,0.000337801851828374,0,0.696969696969697,0,0.35,0.381806563838586,0.000168900925914187,0.842445218755713,0.348989898989899,0.581395348837209,0.610039768908403,0.228402105995731
54,40,"Mexico","Abulon Amarillo",-115.2126278,28.19017778,-0.036319612590799,0.00442802774593767,0,0.606060606060606,NA,0.665178571428571,NA,0.00221401387296883,0.641301196052627,NA,1,NA,NA
55,40,"Mexico","Abulon Azul",-115.2126278,28.19017778,-0.036319612590799,0.00442802774593767,0,0.848484848484849,NA,0.665178571428571,NA,0.00221401387296883,0.641301196052627,NA,0.622093023255814,NA,NA
56,40,"Mexico","Spiny lobster",-115.2126278,28.19017778,-0.036319612590799,0.00442802774593767,0,0.848484848484849,0,0.511904761904762,0.368172476475606,0.00221401387296883,0.641301196052627,0.453463203463204,0.622093023255814,0.472671376260016,0.106712913657379
57,41,"United States","Alaska pollock",-171.2447083,59.08938333,0,0.000337801851828374,0,0.696969696969697,0,0.446428571428571,0.35513989717192,0.000168900925914187,1,0.381132756132756,0.790697674418605,0.590435081714151,0.235464085468146
58,42,"United States","Alaska pollock",-171.2447083,59.08938333,0,0.000337801851828374,0,0.696969696969697,0,0.446428571428571,0.388473230505253,0.000168900925914187,1,0.381132756132756,0.790697674418605,0.590435081714151,0.202130752134813
59,43,"Vietnam","Ben Tre hard clams",106.8173917,10.06029444,-0.181598062953995,0.0580775925836304,0,0.757575757575758,0,0.75,NA,0.0290387962918152,0.606925276675703,0.502525252525252,0.5,0.609450529200955,NA
60,44,"Mexico","Callo de hacha (Pen shell)",-112.210275,29.12829444,-0.036319612590799,0.00442802774593767,0,0.757575757575758,0,NA,0.0940613653644946,0.00221401387296883,0.763290785225076,NA,0.5,NA,NA
